,,,,,,,SPEED DATA,,<- HRPDC TRAVEL TIME COLLECTION DATA ->,,,,INRIX DATA ->,,,,TRAVEL TIME RELIABILITY DATA,,,
JURIS NAME,MPA?,ROUTE #,FACILITY NAME,SEGMENT FROM,SEGMENT TO,DIR,1995 AM SPEED,1995 PM SPEED,2000 AM SPEED,2000 PM SPEED,2005 AM SPEED,2005 PM SPEED,2012 SLOWEST AM  SPEED,2012 HIGHEST AM  TTI,2012 SLOWEST PM  SPEED,2012 HIGHEST PM  TTI,2012 HIGHEST AM BUF INDEX,2012 HIGHEST AM PTI,2012 HIGHEST PM BUF INDEX,2012 HIGHEST PM PTI
HAM,Y,,,,,WB,55.0,55.0,52.3,53.9,47.3,34.7,57,1.03,46,1.38,0.24,1.27,0.59,2.00
HAM,Y,0664,I-664,NEWPORT NEWS CL,ABERDEEN RD,EB,55.0,55.0,55.0,55.0,56.3,54.8,63,0.98,63,0.98,0.11,1.10,0.29,1.29
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,56.2,58.2,62,0.98,63,0.98,0.41,1.39,0.38,1.36
HAM,Y,0664,I-664,ABERDEEN RD,POWER PLANT PKWY,EB,55.0,55.0,55.0,55.0,56.2,56.3,64,0.97,63,0.99,0.07,1.05,0.75,1.72
HAM,Y,,,,,WB,55.0,55.0,55.0,53.4,56.6,57.6,63,0.98,64,0.97,0.36,1.33,0.15,1.12
HAM,Y,0664,I-664,POWER PLANT PKWY,I-64,EB,55.0,55.0,55.0,55.0,55.6,55.6,62,0.98,60,1.02,0.08,1.06,0.83,1.82
HAM,Y,,,,,WB,55.0,55.0,55.0,55.0,53.5,8.4,63,0.97,62,0.98,0.23,1.20,0.08,1.06
IW,Y,460,COMMONWEALTH CONNECTOR (RTE 460),SOUTHAMPTON CL,ROUTE 258,EB,,,,,,,,,,,,,,
IW,Y,,,,,WB,,,,,,,,,,,,,,
IW,Y,460,COMMONWEALTH CONNECTOR (RTE 460),ROUTE 258,SUFFOLK CL,EB,,,,,,,,,,,,,,
IW,Y,,,,,WB,,,,,,,,,,,,,,
JCC,Y,0064,I-64,NEW KENT CL,RTE 30,EB,65.0,65.0,65.0,60.9,69.3,65.7,69,0.95,70,0.93,0.13,1.05,0.09,1.02
